/media/ramdisk/centos.iso > /media/pc/hd/centos.iso
sending incremental file list
centos.iso

          1.96G  45%   54.45MB/s    0:00:44  
          2.02G  47%   57.54MB/s    0:00:40  
          2.08G  48%   56.97MB/s    0:00:40  
          2.15G  50%   57.43MB/s    0:00:38  
          2.20G  51%   59.93MB/s    0:00:36  
          2.26G  52%   56.59MB/s    0:00:37  
          2.31G  54%   58.58MB/s    0:00:35  
          2.37G  55%   56.25MB/s    0:00:35  
          2.42G  56%   56.03MB/s    0:00:34  
          2.48G  58%   57.33MB/s    0:00:32  
          2.53G  59%   56.35MB/s    0:00:32  
          2.58G  60%   52.99MB/s    0:00:33  
          2.64G  61%   55.16MB/s    0:00:31  
          2.69G  63%   53.26MB/s    0:00:31  
          2.75G  64%   54.42MB/s    0:00:29  
          2.80G  65%   57.48MB/s    0:00:26  
          2.86G  66%   56.08MB/s    0:00:26  
          2.91G  68%   56.37MB/s    0:00:25  
          2.97G  69%   56.50MB/s    0:00:24  
          3.02G  70%   56.34MB/s    0:00:23  
          3.08G  71%   50.35MB/s    0:00:24  
          3.15G  73%   56.13MB/s    0:00:20  
          3.20G  74%   52.03MB/s    0:00:21  
          3.26G  76%   54.12MB/s    0:00:19  
          3.32G  77%   60.02MB/s    0:00:16  
          3.37G  78%   54.33MB/s    0:00:17  
          3.43G  80%   58.67MB/s    0:00:15  
          3.49G  81%   56.95MB/s    0:00:14  
          3.54G  82%   56.41MB/s    0:00:13  
          3.60G  84%   57.55MB/s    0:00:12  
          3.65G  85%   56.39MB/s    0:00:11  
          3.71G  86%   56.16MB/s    0:00:10  
          3.77G  88%   57.34MB/s    0:00:09  
          3.82G  89%   55.51MB/s    0:00:08  
          3.87G  90%   55.92MB/s    0:00:07  
          3.93G  91%   56.09MB/s    0:00:06  
          3.99G  93%   57.09MB/s    0:00:05  
          4.04G  94%   56.08MB/s    0:00:04  
          4.09G  95%   57.20MB/s    0:00:03  
          4.15G  97%   56.16MB/s    0:00:02  
          4.20G  98%   51.55MB/s    0:00:01  
          4.26G  99%   55.86MB/s    0:00:00  
          4.27G 100%   66.86MB/s    0:01:05 (xfr#1, to-chk=0/1)

sent 4.27G bytes  received 35 bytes  65.82M bytes/sec
total size is 4.27G  speedup is 1.00
sending incremental file list
centos.iso

         32.00K   0%    0.00kB/s    0:00:00  
        454.34M  10%  454.31MB/s    0:00:08  
        720.84M  16%  330.80MB/s    0:00:11  
        840.09M  19%  264.09MB/s    0:00:13  
        919.84M  21%  220.00MB/s    0:00:16  
        966.59M  22%  109.48MB/s    0:00:31  
          1.04G  24%   76.30MB/s    0:00:44  
          1.09G  25%   60.24MB/s    0:00:55  
          1.11G  26%   48.71MB/s    0:01:08  
          1.19G  27%   62.90MB/s    0:00:51  
          1.23G  28%   47.97MB/s    0:01:06  
          1.29G  30%   51.81MB/s    0:01:00  
          1.35G  31%   59.67MB/s    0:00:51  
          1.40G  32%   53.36MB/s    0:00:56  
          1.46G  34%   55.52MB/s    0:00:53  
          1.52G  35%   56.55MB/s    0:00:50  
          1.58G  36%   56.01MB/s    0:00:50  
          1.63G  38%   56.56MB/s    0:00:48  
          1.69G  39%   59.24MB/s    0:00:45  
          1.75G  40%   56.92MB/s    0:00:46  
          1.80G  42%   56.52MB/s    0:00:45  
          1.86G  43%   57.09MB/s    0:00:44  
          1.91G  44%   56.42MB/s    0:00:43  
          1.96G  45%   53.14MB/s    0:00:45  
          2.02G  47%   56.03MB/s    0:00:42  
          2.08G  48%   55.30MB/s    0:00:41  
          2.13G  49%   55.67MB/s    0:00:40  
          2.19G  51%   58.78MB/s    0:00:37  
          2.24G  52%   56.09MB/s    0:00:37  
          2.30G  53%   55.89MB/s    0:00:37  
          2.35G  55%   57.00MB/s    0:00:35  
          2.40G  56%   54.45MB/s    0:00:36  
